step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,Prediction
185,1,48838.22,0.0,0.0,216049.44,264887.66,Not Fraud
293,3,441667.49,441667.49,0.0,0.0,0.0,Fraud
572,0,2207102.39,2207102.39,0.0,0.0,0.0,Fraud
393,4,2844387.39,53015.0,0.0,0.0,2844387.39,Not Fraud
170,1,908934.54,908934.54,0.0,0.0,0.0,Fraud
233,4,174315.42,5024.0,0.0,1530577.41,1704892.83,Not Fraud
705,0,190835.3,2006345.18,2197180.48,750367.94,559532.64,Not Fraud
371,0,229575.82,1631286.08,1860861.9,2882050.84,2652475.02,Not Fraud
182,1,171740.96,0.0,0.0,5895227.85,6007417.63,Not Fraud
194,1,1350247.81,1350247.81,0.0,1024002.09,2374249.9,Fraud
258,1,54406.2,54406.2,0.0,0.0,0.0,Fraud
388,1,541744.14,541744.14,0.0,36688.59,578432.72,Fraud
91,1,242678.02,242678.02,0.0,0.0,0.0,Fraud
408,1,11950.64,0.0,0.0,235756.54,247707.19,Not Fraud
450,1,36570.14,36570.14,0.0,6311087.97,6347658.11,Fraud
137,0,1645743.59,1645743.59,0.0,0.0,0.0,Fraud
499,1,23571.08,23571.08,0.0,4616649.99,4640221.07,Fraud
10,3,16987.16,814698.29,797711.13,0.0,0.0,Not Fraud
9,3,13070.26,183058.0,169987.74,0.0,0.0,Not Fraud
237,1,425997.76,0.0,0.0,2155641.94,2581639.7,Not Fraud
25,0,803.44,803.44,0.0,0.0,0.0,Fraud
402,1,75928.48,0.0,0.0,2034784.89,2110713.37,Not Fraud
247,1,3378363.48,3378363.48,0.0,0.0,0.0,Fraud
431,4,315011.89,315011.89,0.0,736671.54,1051683.43,Fraud
371,3,283980.56,283980.56,0.0,0.0,0.0,Fraud
36,1,310095.19,1436.0,0.0,29196.58,339291.77,Not Fraud
257,3,3598.57,0.0,0.0,0.0,0.0,Not Fraud
670,3,1035.3,194976.0,193940.7,0.0,0.0,Not Fraud
43,1,445533.09,0.0,0.0,735353.37,1180886.46,Not Fraud
227,1,194004.36,52115.0,0.0,18625.22,212629.58,Not Fraud
560,3,48727.71,48727.71,0.0,0.0,0.0,Fraud
571,1,258965.35,800.0,0.0,0.0,258965.35,Not Fraud
237,3,6242.17,100669.0,94426.83,0.0,0.0,Not Fraud
306,0,241251.32,21230.0,262481.32,0.0,0.0,Not Fraud
308,3,5659.63,59456.0,53796.37,0.0,0.0,Not Fraud
172,1,325759.21,325759.21,0.0,0.0,0.0,Fraud
306,1,321657.4,321657.4,0.0,0.0,0.0,Fraud
620,1,15246.26,15246.26,0.0,1121995.74,1137242.0,Fraud
297,0,157989.55,15897543.49,16055533.04,958396.3,800406.75,Not Fraud
380,1,15286.52,27108.0,11821.48,173705.68,188992.2,Not Fraud
169,0,1332581.37,1332581.37,0.0,79510.71,1412092.08,Fraud
300,4,2777121.37,106728.0,0.0,322900.44,3100021.8,Not Fraud
138,1,61981.41,102157.0,40175.59,0.0,61981.41,Not Fraud
397,1,71022.24,71022.24,0.0,0.0,71022.24,Fraud
256,1,60436.45,60436.45,0.0,0.0,0.0,Fraud
38,1,215435.38,207741.0,0.0,1476673.67,1692109.05,Not Fraud
379,0,101339.74,26265291.84,26366631.58,3498275.19,3396935.44,Not Fraud
514,1,21726.85,21726.85,0.0,58.16,21785.02,Fraud
215,1,5640.2,5640.2,0.0,0.0,5640.2,Fraud
626,1,6255652.08,6255652.08,0.0,0.0,0.0,Fraud
378,3,1663.29,47961.42,46298.13,0.0,0.0,Not Fraud
440,1,802456.57,802456.57,0.0,0.0,0.0,Fraud
296,1,382459.54,382459.54,0.0,0.0,0.0,Fraud
400,1,221859.68,0.0,0.0,650852.65,872712.34,Not Fraud
38,1,841120.3,0.0,0.0,1881522.1,2844782.15,Not Fraud
37,1,177791.3,0.0,0.0,2657597.22,2835388.52,Not Fraud
179,3,4539.28,512088.17,507548.89,0.0,0.0,Not Fraud
253,3,3670.88,0.0,0.0,0.0,0.0,Not Fraud
235,3,4818.8,579.0,0.0,0.0,0.0,Not Fraud
307,3,6422.06,0.0,0.0,0.0,0.0,Not Fraud
346,3,5879.07,5879.07,0.0,0.0,0.0,Fraud
451,1,54694.53,54694.53,0.0,0.0,0.0,Fraud
256,4,469637.6,0.0,0.0,3431019.57,3900657.18,Not Fraud
217,1,191903.54,634391.21,442487.67,1739694.11,1931597.65,Not Fraud
16,3,8015.54,991705.0,983689.46,0.0,0.0,Not Fraud
468,0,555107.61,555107.61,0.0,0.0,0.0,Fraud
234,1,114264.41,114264.41,0.0,286999.93,401264.33,Fraud
307,0,98464.08,1069.0,99533.08,1835843.59,1737379.5,Not Fraud
209,1,142826.35,104962.0,0.0,13252.87,156079.21,Not Fraud
300,4,242649.79,0.0,0.0,5579442.06,5822091.85,Not Fraud
400,0,4483.54,4483.54,0.0,3579041.47,3583525.01,Fraud
9,1,3005.15,12412.0,9406.85,20438.75,23443.9,Not Fraud
396,1,221558.48,0.0,0.0,1095164.19,1316722.67,Not Fraud
110,0,14333.48,14333.48,0.0,0.0,0.0,Fraud
677,0,573327.14,573327.14,0.0,0.0,573327.14,Fraud
593,4,778691.97,778691.97,0.0,0.0,0.0,Fraud
436,3,4899130.0,4899130.0,0.0,0.0,0.0,Fraud
136,1,519524.1,99592.0,0.0,20825.06,540349.16,Not Fraud
282,0,385564.1,385564.1,0.0,0.0,0.0,Fraud
138,0,292683.31,1776812.93,2069496.24,688619.06,395935.75,Not Fraud
196,1,1311851.7,1311851.7,0.0,0.0,0.0,Fraud
462,3,1139610.83,1139610.83,0.0,0.0,0.0,Fraud
522,3,21957.93,0.0,0.0,0.0,0.0,Not Fraud
237,3,8924.27,208.0,0.0,0.0,0.0,Not Fraud
18,0,188219.34,249597.08,437816.43,444256.38,256037.03,Not Fraud
687,3,10087.87,6583.29,0.0,0.0,0.0,Not Fraud
275,0,25636.73,5118.0,30754.73,805397.07,779760.34,Not Fraud
229,1,15839.19,95679.77,79840.58,459073.09,474912.28,Not Fraud
119,1,50844.85,50844.85,0.0,0.0,0.0,Fraud
36,1,84699.68,0.0,0.0,110143.36,194843.04,Not Fraud
357,0,939458.8,939458.8,0.0,0.0,0.0,Fraud
416,1,483908.34,0.0,0.0,15068237.38,15552145.72,Not Fraud
205,3,12316.17,0.0,0.0,0.0,0.0,Not Fraud
350,3,30524.04,100404.0,69879.96,0.0,0.0,Not Fraud
179,0,198929.75,30073.0,229002.75,0.0,0.0,Not Fraud
307,3,11090.77,21242.0,10151.23,0.0,0.0,Not Fraud
372,1,181649.9,20321.0,0.0,0.0,544228.0,Not Fraud
12,3,12748.97,9915.0,0.0,0.0,0.0,Not Fraud
431,0,10000000.0,49610799.02,39610799.02,0.0,0.0,Fraud
376,1,329276.55,0.0,0.0,1892773.92,2222050.47,Not Fraud
182,1,273118.85,25585.87,0.0,4234610.53,4507729.38,Not Fraud
653,1,114626.66,114626.66,0.0,0.0,0.0,Fraud
186,3,11518.19,0.0,0.0,0.0,0.0,Not Fraud
182,4,360684.69,0.0,0.0,612826.04,973510.72,Not Fraud
371,3,21327.4,12635.0,0.0,0.0,0.0,Not Fraud
644,4,650485.02,0.0,0.0,1735027.07,2385512.09,Not Fraud
16,0,479263.72,20752.0,500015.72,277653.56,0.0,Not Fraud
161,1,75408.12,117090.01,41681.89,164500.72,239908.84,Not Fraud
187,3,5520.95,102620.0,97099.05,0.0,0.0,Not Fraud
301,3,12550.26,0.0,0.0,0.0,0.0,Not Fraud
269,1,739384.85,739384.85,0.0,0.0,0.0,Fraud
588,3,6270490.3,6270490.3,0.0,0.0,6270490.3,Fraud
74,0,743073.51,743073.51,0.0,0.0,743073.51,Fraud
541,3,498095.66,498095.66,0.0,0.0,0.0,Fraud
673,1,333384.34,333384.34,0.0,741881.8,1075266.14,Fraud
164,3,4436.36,0.0,0.0,0.0,0.0,Not Fraud
723,3,123130.53,123130.53,0.0,0.0,0.0,Fraud
553,1,327720.53,327720.53,0.0,0.0,0.0,Fraud
677,0,458801.85,458801.85,0.0,0.0,0.0,Fraud
206,3,10543.6,142623.0,132079.4,0.0,0.0,Not Fraud
400,3,25278.9,0.0,0.0,0.0,0.0,Not Fraud
43,3,17276.23,0.0,0.0,0.0,0.0,Not Fraud
160,4,221340.88,707.0,0.0,0.0,221340.88,Not Fraud
444,0,685214.52,685214.52,0.0,0.0,0.0,Fraud
141,0,298127.89,635681.8,933809.68,652045.7,353917.81,Not Fraud
622,0,74796.47,74796.47,0.0,0.0,0.0,Fraud
225,3,32132.62,158681.52,126548.9,0.0,0.0,Not Fraud
185,1,173114.1,0.0,0.0,4309769.78,4482883.88,Not Fraud
250,1,206922.93,21298.0,0.0,0.0,206922.93,Not Fraud
106,1,1734.59,1734.59,0.0,0.0,0.0,Fraud
338,4,2239493.01,2239493.01,0.0,143992.2,2383485.2,Fraud
169,3,871895.81,871895.81,0.0,0.0,0.0,Fraud
418,0,9198.31,9198.31,0.0,0.0,0.0,Fraud
404,3,2380063.49,2380063.49,0.0,32567.43,2412630.92,Fraud
207,0,75600.0,11654.0,87254.0,136859.79,61259.79,Not Fraud
386,1,285379.49,285379.49,0.0,0.0,0.0,Fraud
680,3,161944.42,161944.42,0.0,0.0,161944.42,Fraud
11,3,18827.81,0.0,0.0,0.0,0.0,Not Fraud
39,3,5799.2,0.0,0.0,0.0,0.0,Not Fraud
181,3,39723.36,529.0,0.0,0.0,0.0,Not Fraud
393,3,2587.88,0.0,0.0,0.0,0.0,Not Fraud
252,0,136808.57,2708003.09,2844811.66,349277.39,212468.81,Not Fraud
324,3,10315.58,0.0,0.0,0.0,0.0,Not Fraud
490,2,2103837.72,2103837.72,0.0,0.0,2103837.72,Fraud
407,3,513880.09,513880.09,0.0,0.0,0.0,Fraud
140,0,52816.12,73148.0,125964.12,301054.03,207003.29,Not Fraud
356,3,74993.87,74993.87,0.0,568595.06,643588.94,Fraud
155,1,267418.27,0.0,0.0,952121.99,1219540.25,Not Fraud
326,0,92009.14,21389.0,113398.14,1283861.34,1191852.2,Not Fraud
137,1,79644.19,0.0,0.0,1637836.07,1717480.26,Not Fraud
203,1,680292.07,680292.07,0.0,1168842.3,1849134.38,Fraud
372,3,14154.87,0.0,0.0,0.0,0.0,Not Fraud
234,0,926777.01,926777.01,0.0,0.0,0.0,Fraud
690,1,78160.34,78160.34,0.0,1867465.34,1945625.69,Fraud
11,3,25466.29,12677.0,0.0,0.0,0.0,Not Fraud
44,3,4339.32,0.0,0.0,0.0,0.0,Not Fraud
208,0,103205.83,10648263.28,10751469.11,902840.98,799635.16,Not Fraud
382,0,2459273.8,2459273.8,0.0,0.0,0.0,Fraud
407,1,10000000.0,19259944.42,9259944.42,0.0,0.0,Fraud
374,0,1497157.73,1497157.73,0.0,0.0,0.0,Fraud
178,1,161433.34,0.0,0.0,183586.91,345020.24,Not Fraud
686,1,307282.58,0.0,0.0,397665.03,704947.61,Not Fraud
206,4,239506.04,239506.04,0.0,0.0,0.0,Fraud
16,3,2471.71,0.0,0.0,0.0,0.0,Not Fraud
561,0,181546.42,181546.42,0.0,0.0,0.0,Fraud
10,1,140158.67,25455.0,0.0,0.0,140158.67,Not Fraud
275,3,31350.88,31350.88,0.0,0.0,0.0,Fraud
552,1,90473.93,90473.93,0.0,336471.68,426945.61,Fraud
255,1,132270.22,0.0,0.0,809049.11,941319.33,Not Fraud
168,3,454513.39,454513.39,0.0,907825.92,1362339.31,Fraud
284,0,4572910.3,4572910.3,0.0,0.0,0.0,Fraud
335,3,29408.75,155180.16,125771.41,0.0,0.0,Not Fraud
496,1,246088.49,246088.49,0.0,53876.7,299965.19,Fraud
478,4,184788.83,184788.83,0.0,0.0,184788.83,Fraud
343,3,908206.92,908206.92,0.0,0.0,908206.92,Fraud
170,4,1451117.24,1451117.24,0.0,3732050.08,5183167.32,Fraud
208,4,28902.76,7878.0,0.0,0.0,28902.76,Not Fraud
407,3,20336.16,17311.88,0.0,0.0,0.0,Not Fraud
154,3,10822.42,54532.32,43709.89,0.0,0.0,Not Fraud
136,4,345152.82,6667.0,0.0,6077.66,351230.48,Not Fraud
134,3,3443.68,0.0,0.0,0.0,0.0,Not Fraud
257,0,155178.64,82084.0,237262.64,0.0,0.0,Not Fraud
102,4,1812817.47,1812817.47,0.0,0.0,1812817.47,Fraud
589,1,91029.67,91029.67,0.0,187953.21,278982.88,Fraud
439,1,291498.31,291498.31,0.0,915977.12,1207475.42,Fraud
633,0,10000000.0,10000000.0,0.0,131875.88,10131875.88,Fraud
300,1,463614.47,0.0,0.0,1465867.85,1929482.33,Not Fraud
354,3,21442.38,0.0,0.0,0.0,0.0,Not Fraud
283,0,89594.44,6871193.71,6960788.16,141764.25,52169.81,Not Fraud
254,0,10000000.0,11854825.88,1854825.88,0.0,0.0,Fraud
359,1,505576.91,505576.91,0.0,0.0,0.0,Fraud
161,1,242454.62,0.0,0.0,456369.85,698824.46,Not Fraud
522,4,722692.25,11558.0,0.0,0.0,722692.25,Not Fraud
576,1,75093.23,75093.23,0.0,0.0,0.0,Fraud
518,3,1078285.73,1078285.73,0.0,5159.63,1083445.36,Fraud
4,1,248011.57,0.0,0.0,9941904.21,12362816.81,Not Fraud
276,0,463674.36,5354695.47,5818369.84,2428128.85,1964454.49,Not Fraud
136,1,73554.06,0.0,0.0,245731.94,21236.22,Not Fraud
162,0,407718.56,407718.56,0.0,0.0,0.0,Fraud
222,1,2151493.25,2151493.25,0.0,0.0,0.0,Fraud
284,3,5158.06,0.0,0.0,0.0,0.0,Not Fraud
156,0,53978.94,34402.0,88380.94,189836.9,135857.96,Not Fraud
12,0,109175.29,7598.0,116773.29,68254.76,472138.42,Not Fraud
447,1,207348.95,207348.95,0.0,0.0,0.0,Fraud
410,1,582251.39,582251.39,0.0,0.0,0.0,Fraud
690,0,91865.78,57403.0,149268.78,41173.17,0.0,Not Fraud
675,3,116664.34,116664.34,0.0,0.0,116664.34,Fraud
9,3,7972.22,1020644.01,1012671.79,0.0,0.0,Not Fraud
351,0,407142.44,407142.44,0.0,642530.36,1049672.8,Fraud
325,1,102498.52,0.0,0.0,387268.65,489767.16,Not Fraud
188,1,1607.75,1607.75,0.0,0.0,0.0,Fraud
252,3,17010.22,40425.0,23414.78,0.0,0.0,Not Fraud
391,4,68800.63,68800.63,0.0,999846.49,1068647.12,Fraud
257,0,94676.06,903.0,95579.06,528970.01,434293.95,Not Fraud
355,3,4083.71,0.0,0.0,0.0,0.0,Not Fraud
185,3,1495018.78,1495018.78,0.0,0.0,1495018.78,Fraud
499,1,45170.56,45170.56,0.0,1117624.5,1162795.06,Fraud
405,1,172921.21,0.0,0.0,648399.21,821320.42,Not Fraud
381,3,15071.66,0.0,0.0,0.0,0.0,Not Fraud
276,3,9431.89,0.0,0.0,0.0,0.0,Not Fraud
618,1,3404.57,3404.57,0.0,0.0,0.0,Fraud
18,1,134716.96,0.0,0.0,1241786.87,1376503.83,Not Fraud
324,1,344158.04,51845.0,0.0,0.0,344158.04,Not Fraud
486,3,1313880.79,1313880.79,0.0,0.0,0.0,Fraud
45,3,4252.8,0.0,0.0,0.0,0.0,Not Fraud
167,1,117522.93,68291.0,0.0,234937.21,352460.13,Not Fraud
160,1,176177.16,273689.78,97512.62,690588.65,866765.81,Not Fraud
227,0,113186.19,113186.19,0.0,0.0,113186.19,Fraud
20,1,125615.69,10752.0,0.0,1143743.58,1269359.27,Not Fraud
673,1,268605.45,17139.1,0.0,3029186.99,3297792.44,Not Fraud
184,0,26479.46,8639279.26,8665758.72,1296716.45,1270237.0,Not Fraud
13,0,176812.47,115730.38,292542.85,36743.61,0.0,Not Fraud
36,4,593998.8,0.0,0.0,1868869.5,2462868.3,Not Fraud
300,3,60641.94,60641.94,0.0,0.0,0.0,Fraud
293,3,145988.96,145988.96,0.0,732.97,0.0,Fraud
137,4,51935.32,0.0,0.0,117304.13,169239.45,Not Fraud
199,3,2061357.62,2061357.62,0.0,12960.73,2074318.35,Fraud
405,0,248190.57,248190.57,0.0,0.0,248190.57,Fraud
37,1,119769.47,0.0,0.0,20571898.03,20691667.5,Not Fraud
238,3,8372.88,0.0,0.0,0.0,0.0,Not Fraud
642,4,1539869.74,1539869.74,0.0,129380.14,1669249.88,Fraud
379,4,1874799.23,0.0,0.0,1882103.8,3756903.03,Not Fraud
374,3,56383.36,56383.36,0.0,0.0,0.0,Fraud
615,0,84780.18,84780.18,0.0,0.0,84780.18,Fraud
338,3,1399683.74,1399683.74,0.0,0.0,0.0,Fraud
267,0,152926.73,152926.73,0.0,0.0,0.0,Fraud
657,3,4658.65,4658.65,0.0,0.0,0.0,Fraud
19,1,209699.08,209699.08,0.0,258141.47,467840.56,Not Fraud
259,1,53583.77,6865.0,0.0,0.0,53583.77,Not Fraud
299,3,13021.84,7005.0,0.0,0.0,0.0,Not Fraud
393,3,16467.72,18380.28,1912.56,0.0,0.0,Not Fraud
42,3,5087.61,15401.02,10313.4,0.0,0.0,Not Fraud
351,1,509605.36,4348.0,0.0,1106573.51,1616178.87,Not Fraud
580,3,2626226.12,2626226.12,0.0,0.0,0.0,Fraud
473,1,180407.66,180407.66,0.0,206164.52,386572.18,Fraud
137,1,99985.94,1074253.19,974267.26,10049659.94,10149645.88,Not Fraud
20,1,56618.31,32043.0,0.0,1890002.93,1946621.24,Not Fraud
364,1,423561.73,423561.73,0.0,323586.62,747148.35,Fraud
287,3,34057.44,34057.44,0.0,3482796.0,3516853.44,Fraud
509,0,6551156.05,6551156.05,0.0,0.0,0.0,Fraud
165,0,157097.85,2511153.54,2668251.39,794674.9,637577.04,Not Fraud
1,3,19741.22,81762.38,62021.17,0.0,0.0,Not Fraud
688,4,54608.82,54608.82,0.0,0.0,0.0,Fraud
44,3,4245.03,0.0,0.0,0.0,0.0,Not Fraud
187,0,14502.35,9740517.89,9755020.25,1524892.42,1510390.06,Not Fraud
313,1,333144.02,333144.02,0.0,0.0,0.0,Fraud
417,0,58082.99,58082.99,0.0,0.0,58082.99,Fraud
230,1,92526.64,10664.0,0.0,519612.85,612139.49,Not Fraud
396,3,35064.42,35064.42,0.0,1127430.26,1162494.68,Fraud
210,0,7088396.93,7088396.93,0.0,0.0,0.0,Fraud
160,3,4158.86,0.0,0.0,0.0,0.0,Not Fraud
578,0,195347.81,195347.81,0.0,1735730.72,1931078.54,Fraud
233,3,420.37,11756.0,11335.63,0.0,0.0,Not Fraud
537,1,404337.04,404337.04,0.0,0.0,0.0,Fraud
299,4,855452.74,0.0,0.0,1293674.36,2149127.1,Not Fraud
580,1,534488.4,534488.4,0.0,0.0,0.0,Fraud
585,1,81901.17,81901.17,0.0,841306.92,923208.09,Fraud
264,1,416015.5,416015.5,0.0,0.0,0.0,Fraud
382,0,49582.04,24486.0,74068.04,41394.1,0.0,Not Fraud
234,3,212342.92,212342.92,0.0,0.0,212342.92,Fraud
533,0,497968.12,497968.12,0.0,0.0,0.0,Fraud
406,0,122282.22,122282.22,0.0,11719993.17,11842275.39,Fraud
321,3,21080.12,0.0,0.0,0.0,0.0,Not Fraud
353,2,1462704.41,1462704.41,0.0,0.0,1462704.41,Fraud
233,4,4527130.57,4527130.57,0.0,0.0,0.0,Fraud
131,4,497194.93,497194.93,0.0,177582.83,800792.3,Fraud
14,4,184687.94,0.0,0.0,926739.84,1111427.77,Not Fraud
35,3,49126.71,48600.51,0.0,0.0,0.0,Fraud
42,3,3713.45,0.0,0.0,0.0,0.0,Not Fraud
590,3,3649.79,1777.0,0.0,0.0,0.0,Not Fraud
263,3,553936.4,553936.4,0.0,0.0,0.0,Fraud
293,0,8216.19,8216.19,0.0,34740.6,42956.78,Fraud
371,3,1972927.82,1972927.82,0.0,445502.28,2418430.1,Fraud
671,3,394161.34,394161.34,0.0,0.0,0.0,Fraud
221,3,990112.38,990112.38,0.0,0.0,0.0,Fraud
349,3,20468.92,284.0,0.0,0.0,0.0,Not Fraud
541,1,98089.48,98089.48,0.0,0.0,0.0,Fraud
574,3,327472.1,327472.1,0.0,719547.52,1047019.62,Fraud
462,0,7767091.84,7767091.84,0.0,0.0,0.0,Fraud
559,1,31365.44,31365.44,0.0,147398.27,178763.71,Fraud
404,3,17145.12,21164.0,4018.88,0.0,0.0,Not Fraud
375,3,293.42,0.0,0.0,0.0,0.0,Not Fraud
349,3,2203020.06,2203020.06,0.0,3466944.36,5669964.42,Fraud
402,0,237767.67,237767.67,0.0,103607.51,341375.18,Fraud
133,4,72582.26,72582.26,0.0,0.0,0.0,Fraud
351,1,172765.21,0.0,0.0,946885.62,1119650.83,Not Fraud
501,1,210539.95,210539.95,0.0,0.0,0.0,Fraud
